Country Name,Country Code,Year,gdp,pop,medal number
Cuba,CUB,2008,60806300000.0,11236975.0,47.0
Czech Republic,CZE,2008,236816485763.0,10384603.0,7.0
Dominican Republic,DOM,2008,48122547177.0,9458079.0,2.0
"Egypt, Arab Rep.",EGY,2008,162818181818.0,79636081.0,1.0
Spain,ESP,2008,1625224842537.0,45954106.0,71.0
Estonia,EST,2008,24341678629.0,1337090.0,3.0
Ethiopia,ETH,2008,27066912635.0,82916236.0,7.0
Finland,FIN,2008,284553976857.0,5313399.0,5.0
France,FRA,2008,2918382891460.0,64374979.0,76.0
United Kingdom,GBR,2008,2938882352941.0,61806995.0,77.0
Georgia,GEO,2008,12795076469.0,3848449.0,6.0
Hungary,HUN,2008,158374419641.0,10038188.0,27.0
Colombia,COL,2008,242186950901.0,44254972.0,2.0
"Venezuela, RB",VEN,2008,315953388511.0,27635827.0,1.0
